"Fahrzeugmodell";"Marke";"Markenindikator";"Modellfamilie";"Markteinführung weltweit";"Modelljahr";"Entwicklungstyp";"Modellstatus";"Fahrzeugsegment";"Karosserieart";"Karosserieart-Spezifikation";"Antriebsart";"Fahrzeugprojekt";"Beschränkung";"UUID";"Schwestermodell";"Schwestermodell";"Modellausführung";"Basisfahrzeug"
"Renault Kadjar (2016)";"Renault";"Volume";"Renault Kadjar";"01.06.2015";"2016";;"ausgelaufen";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"425d3258-d0aa-4945-9750-f276dd9ae54e";;;;
"Renault Kadjar (2019)";"Renault";"Volume";"Renault Kadjar";"01.12.2018";"2019";"Facelift";"ausgelaufen";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"14ed400c-a055-44ab-8b98-12f0844d1e4f";;;;
"Renault Kangoo (1997)";"Renault";"Volume";"Renault Kangoo";"01.10.1996";"1997";;"ausgelaufen";"A (Kompaktklasse)";"City Van";"City Van standard";"ICE";;"Keine";"b0f7dd88-5b81-4441-a3a1-a57e0fbdafc4";;;;
"Renault Kangoo (2003)";"Renault";"Volume";"Renault Kangoo";"01.03.2003";"2003";;"ausgelaufen";"A (Kompaktklasse)";"City Van";"City Van standard";"ICE";;"Keine";"9c735b99-7da8-4fe5-b844-543105a21480";;;;
"Renault Kangoo (2006)";"Renault";"Volume";"Renault Kangoo";"01.10.2005";"2006";;"ausgelaufen";"A (Kompaktklasse)";"City Van";"City Van standard";"ICE";;"Keine";"347d381e-188f-4e7a-8401-1adffacb717c";;;;
"Renault Kangoo (2009)";"Renault";"Volume";"Renault Kangoo";"30.09.2008";"2009";;"ausgelaufen";"A (Kompaktklasse)";"City Van";"City Van standard";"ICE";;"Keine";"a7a6ef17-831e-4aad-a7e6-018e4ccb973e";;"Mercedes-Benz Citan Kombi (2013)|Nissan Kubistar (2009)";;
"Renault Kangoo (2014)";"Renault";"Volume";"Renault Kangoo";"01.06.2013";"2014";;"ausgelaufen";"A (Kompaktklasse)";"City Van";"City Van standard";"ICE";;"Keine";"6a0b219a-a19e-4156-90db-749d89848e5b";;;"Renault Grand Kangoo (2014)";
"Renault Kangoo be bop (2009)";"Renault";"Volume";"Renault Kangoo";"30.09.2008";"2009";;"ausgelaufen";"A (Kompaktklasse)";"City Van";"City Van standard";"ICE";;"Keine";"c432414f-5eab-4b1f-935a-768182b344b8";;;;
"Renault Kangoo Kombi (2021)";"Renault";"Volume";"Renault Kangoo";"01.04.2021";"2021";"Neuentwicklung";"aktuell";"A (Kompaktklasse)";"City Van";"City Van standard";"ICE";;"Keine";"2be41fb1-cf21-46a3-be88-6ad7d324a5b5";"Nissan Townstar Kombi (2022)|Renault Express Kombi (2021)";"Mercedes-Benz Citan Tourer (2023)|Mercedes-Benz T-Klasse (2023)";"Renault Kangoo Kombi E-Tech (2022)";
"Renault Kangoo Kombi E-Tech (2022)";"Renault";"Volume";"Renault Kangoo";"01.04.2021";"2021";"Neuentwicklung";"aktuell";"A (Kompaktklasse)";"City Van";"City Van standard";"BEV";;"Keine";"f250b04d-96b0-4cfb-9701-f2beb0b29e05";;"Mercedes-Benz EQT (2023)";;"Renault Kangoo Kombi (2021)"
"Renault Kangoo LCV (2021)";"Renault";"Volume";"Renault Kangoo";"01.04.2021";"2021";"Neuentwicklung";"aktuell";"A (Kompaktklasse)";"City Van";"City Van standard";"ICE";;"Keine";"e7c909fc-7d7a-484f-a6a2-223f2d72c9ee";"Nissan Townstar LCV (2022)|Renault Express LCV (2021)";"Mercedes-Benz Citan LCV (2022)";"Renault Kangoo LCV electric (2022)";
"Renault Kangoo LCV electric (2022)";"Renault";"Volume";"Renault Kangoo";"01.04.2022";"2022";"Neuentwicklung";"aktuell";"A (Kompaktklasse)";"City Van";"City Van standard";"BEV";;"Keine";"00489b6f-e10b-49a6-b373-b9148a2da553";;"Mercedes-Benz eCitan (2023)";;"Renault Kangoo LCV (2021)"
"Renault Kaptur (2017)";"Renault";"Volume";"Renault Kaptur";"01.06.2016";"2017";;"ausgelaufen";"A0 (Kleinwagen)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"323553ce-fda4-4434-8949-6ecc81a2d706";;;;
"Renault Kaptur (2021)";"Renault";"Volume";"Renault Kaptur";"01.06.2020";"2021";"Facelift";"aktuell";"A0 (Kleinwagen)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"08519f95-9c5d-433f-ad73-c55c712fbf46";;;;
"Renault Kiger (2022)";"Renault";"Volume";;"01.05.2021";"2022";"Neuentwicklung";"aktuell";"A00 (Kleinstwagen)";"SUV / CUV";"CUV";"ICE";;"Keine";"6ee2aed6-9633-422f-a16f-24ca63697f7a";;;;
"Renault Koleos (2009)";"Renault";"Volume";"Renault Koleos";"06.03.2008";"2009";;"ausgelaufen";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"a32868d9-48bd-41e6-9bf6-1a03a202122e";"Samsung QM5 (2006)";;;
"Renault Koleos (2012)";"Renault";"Volume";"Renault Koleos";"01.10.2011";"2012";;"ausgelaufen";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"c0ef8879-aab6-4b11-90c3-ab75c0f9fb53";"Samsung QM5 (2015)";;;
"Renault Koleos (2014)";"Renault";"Volume";"Renault Koleos";"15.06.2013";"2014";;"ausgelaufen";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"8a42f61b-6713-43fc-a4f1-fe81064cfbc2";;;;
"Renault Koleos (2017)";"Renault";"Volume";"Renault Koleos";"01.10.2016";"2017";;"ausgelaufen";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"dfbf12a7-6737-4634-a3a1-4adee87e6711";"Samsung QM6 (2017)";;;
"Renault Koleos (2020)";"Renault";"Volume";"Renault Koleos";"01.10.2019";"2020";"Facelift";"aktuell";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"ICE";;"Keine";"28512238-9405-459e-a56b-ee82436bf6b5";;;;
"Renault Kwid (2016)";"Renault";"Volume";"Renault Kwid";"24.09.2015";"2016";;"ausgelaufen";"A00 (Kleinstwagen)";"Hatchback";"Hatchback standard";"ICE";;"Keine";"c72edcac-5d9a-40f4-8669-b4e5d14e55f1";;;;
"Renault Kwid (2020)";"Renault";"Volume";"Renault Kwid";"01.10.2019";"2020";"Facelift";"aktuell";"A00 (Kleinstwagen)";"Hatchback";"Hatchback standard";"ICE";;"Keine";"7375f508-03ac-4eb6-a5ec-b9cba8ba0652";;;;
"Renault Laguna Coupe (2009)";"Renault";"Volume";"Renault Laguna";"02.10.2008";"2009";;"ausgelaufen";"B (Mittelklasse)";"Coupe";"Coupe Saloon";"ICE";;"Keine";"5f1ac5dc-f0ed-4145-9303-4ea63d104824";;;;
"Renault Laguna Grandtour (2008)";"Renault";"Volume";"Renault Laguna";"11.09.2007";"2008";;"ausgelaufen";"B (Mittelklasse)";"Estate";;"ICE";;"Keine";"334b1aaa-def6-46f5-a47a-94970b0f2b13";;;;
"Renault Laguna Grandtour (2011)";"Renault";"Volume";"Renault Laguna";"01.01.2011";"2011";;"ausgelaufen";"B (Mittelklasse)";"Estate";;"ICE";;"Keine";"bfce3b50-802a-4d37-aa3b-7efa0d8f03ae";;;;
"Renault Laguna Sedan (2008)";"Renault";"Volume";"Renault Laguna";"11.09.2007";"2008";;"ausgelaufen";"B (Mittelklasse)";"Sedan";;"ICE";;"Keine";"71962b27-6f9b-430b-b34c-86ee36195543";;;;
"Renault Laguna Sedan (2011)";"Renault";"Volume";"Renault Laguna";"01.01.2011";"2011";;"ausgelaufen";"B (Mittelklasse)";"Sedan";;"ICE";;"Keine";"0c69b9a6-f27d-48d9-b57e-a0fd0750b317";;;;
"Renault Latitude (2011)";"Renault";"Volume";"Renault Latitude";"01.08.2010";"2011";;"ausgelaufen";"B (Mittelklasse)";"Sedan";;"ICE";;"Keine";"aaac8a71-bf9b-4ede-a73e-550531dc3a7a";;"Renault Safrane (2011)|Samsung SM5 (2011)";;
"Renault Lodgy (2013)";"Renault";"Volume";"Renault Lodgy";"01.01.2013";"2013";;"ausgelaufen";"A0 (Kleinwagen)";"MPV";"MPV long";"ICE";;"Keine";"62f3ef9a-eb3c-476d-a980-cdc341cbac6f";;"Dacia Lodgy (2013)";;
"Renault Logan (2005)";"Renault";"Volume";"Renault Logan";"10.09.2004";"2005";;"ausgelaufen";"A0 (Kleinwagen)";"Sedan";"Sedan Standard";"ICE";;"Keine";"8e685fd0-7651-4c54-a7b6-a0fe1a41c7ad";"Mahindra Logan (2008)|Nissan Aprio (2005)";"Dacia Logan (2005)";;
"Renault Logan (2014)";"Renault";"Volume";"Renault Logan";"01.01.2013";"2014";"Neuentwicklung";"ausgelaufen";"A0 (Kleinwagen)";"Sedan";"Sedan Standard";"ICE";;"Keine";"97337231-1110-4eea-b40c-1fd5d1a3f1e8";;"Dacia Logan (2013)|Renault Symbol (2014)";;
"Renault Logan (2020)";"Renault";"Volume";"Renault Logan";"01.07.2019";"2020";"Facelift";"aktuell";"A0 (Kleinwagen)";"Sedan";"Sedan Standard";"ICE";;"Keine";"bc838d52-9189-42ce-855d-be3a97467679";;;;
"Renault Lutecia (2014)";"Renault";"Volume";"Renault Lutecia";"01.01.2013";"2014";;"ausgelaufen";"A0 (Kleinwagen)";"Hatchback";"Hatchback standard";"ICE";;"Keine";"89949ea4-3175-43a8-bf23-65f5a6df9a31";;"Renault Clio (2013)";;
"Renault Lutecia (2020)";"Renault";"Volume";"Renault Lutecia";"01.10.2019";"2020";"Neuentwicklung";"aktuell";"A0 (Kleinwagen)";"Hatchback";"Hatchback standard";"ICE";;"Keine";"3be7a910-d7cb-4594-be31-812d332cf1e1";;"Renault Clio (2020)";;
"Renault Megane CC (2011)";"Renault";"Volume";"Renault Megane";"01.06.2010";"2011";;"ausgelaufen";"A (Kompaktklasse)";"Cabriolet/Roadster";;"ICE";;"Keine";"22be51a4-e6d3-4662-bd0e-a566dae0d18b";;;;
"Renault Megane CC (2014)";"Renault";"Volume";"Renault Megane";"01.01.2014";"2014";;"ausgelaufen";"A (Kompaktklasse)";"Cabriolet/Roadster";;"ICE";;"Keine";"d88e31cf-e8b2-4f48-b344-dcd02ce7363c";;;;
"Renault Megane Coupe (2009)";"Renault";"Volume";"Renault Megane";"02.10.2008";"2009";;"ausgelaufen";"A (Kompaktklasse)";"Coupe";;"ICE";;"Keine";"9a67310c-60d7-4b03-98cb-b816fd0b0d39";;;;
"Renault Megane Coupe (2014)";"Renault";"Volume";"Renault Megane";"01.01.2014";"2014";;"ausgelaufen";"A (Kompaktklasse)";"Coupe";;"ICE";;"Keine";"56c20b6e-aa7f-4f44-af2c-0f69797f6f9e";;;;
"Renault Megane E-Tech (2022)";"Renault";"Volume";"Renault Megane";"01.03.2022";"2022";"Neuentwicklung";"aktuell";"A0 (Kleinwagen)";"SUV / CUV";"SUV Standard";"BEV";;"Keine";"9d776bd4-05cb-4f72-b610-1e55fbd65486";;;;
"Renault Megane Grandtour (2010)";"Renault";"Volume";"Renault Megane";"21.06.2009";"2010";;"ausgelaufen";"A (Kompaktklasse)";"Estate";"Estate standard";"ICE";;"Keine";"d7b54529-5b74-4d65-9c2c-2cd2f330a07e";;;;
"Renault Megane Grandtour (2014)";"Renault";"Volume";"Renault Megane";"01.01.2014";"2014";;"ausgelaufen";"A (Kompaktklasse)";"Estate";"Estate standard";"ICE";;"Keine";"2281f803-cc14-4dd5-b4ad-f1ba2a914435";;;;
"Renault Megane Grandtour (2017)";"Renault";"Volume";"Renault Megane";"01.11.2016";"2017";;"ausgelaufen";"A (Kompaktklasse)";"Estate";"Estate standard";"ICE";;"Keine";"795927ae-f4c5-4a98-b85e-6cd37ccc0b50";;;;
"Renault Megane Grandtour (2020)";"Renault";"Volume";"Renault Megane";"01.03.2020";"2020";"Facelift";"aktuell";"A (Kompaktklasse)";"Estate";"Estate standard";"ICE";;"Keine";"b78cbb47-d749-4ed0-a60e-445aee59f7ee";;;"Renault Megane Grandtour E-Tech (2020)";
"Renault Megane Grandtour E-Tech (2020)";"Renault";"Volume";"Renault Megane";"01.03.2020";"2020";"Facelift";"aktuell";"A (Kompaktklasse)";"Estate";"Estate standard";"PHEV";;"Keine";"4771fabc-fee9-46ee-9517-5c69a47014f5";;;;"Renault Megane Grandtour (2020)"
"Renault Megane Kurzheck (2009)";"Renault";"Volume";"Renault Megane";"02.10.2008";"2009";;"ausgelaufen";"A (Kompaktklasse)";"Hatchback";"Hatchback standard";"ICE";;"Keine";"31ebe174-bed5-44a3-9842-597cbf0d8267";;;;
"Renault Megane Kurzheck (2014)";"Renault";"Volume";"Renault Megane";"01.01.2014";"2014";;"ausgelaufen";"A (Kompaktklasse)";"Hatchback";"Hatchback standard";"ICE";;"Keine";"73a2bbcd-bf38-4d8d-b07a-da9af8237fd7";;;;
"Renault Megane Kurzheck (2016)";"Renault";"Volume";"Renault Megane";"05.03.2016";"2016";;"ausgelaufen";"A (Kompaktklasse)";"Hatchback";"Hatchback standard";"ICE";;"Keine";"166354a3-318c-4d51-b37a-c6d647c85ec9";;;;
"Renault Megane Kurzheck (2020)";"Renault";"Volume";"Renault Megane";"01.03.2020";"2020";"Facelift";"aktuell";"A (Kompaktklasse)";"Hatchback";"Hatchback standard";"ICE";;"Keine";"fa3b4197-93c4-42b6-9ba6-233957b786e6";;;"Renault Megane Kurzheck E-Tech (2020)";
"Renault Megane Kurzheck E-Tech (2020)";"Renault";"Volume";"Renault Megane";"01.03.2020";"2020";"Facelift";"aktuell";"A (Kompaktklasse)";"Hatchback";"Hatchback standard";"PHEV";;"Keine";"d2e2e65d-ab61-49ae-a2b2-59d794ce46cc";;;;"Renault Megane Kurzheck (2020)"
"Renault Megane Stufenheck (2017)";"Renault";"Volume";"Renault Megane";"01.02.2017";"2017";;"ausgelaufen";"A (Kompaktklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"d40ff541-5181-4234-bddb-c407285831db";;;;
"Renault Megane Stufenheck (2021)";"Renault";"Volume";"Renault Megane";"01.11.2020";"2021";"Facelift";"aktuell";"A (Kompaktklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"5486a01a-8c0e-4612-8dc0-f92bf5f24bf3";;;;
"Renault Modus (2005)";"Renault";"Volume";"Renault Modus";"07.09.2004";"2005";;"ausgelaufen";"A0 (Kleinwagen)";"MPV";;"ICE";;"Keine";"1bd8278a-b495-414a-aa15-fec051ab6059";;;;
"Renault Modus (2008)";"Renault";"Volume";"Renault Modus";"01.03.2008";"2008";;"ausgelaufen";"A0 (Kleinwagen)";"MPV";;"ICE";;"Keine";"25ba49a8-2fe5-4e1c-9011-f18a95e59756";;;"Renault Grand Modus (2008)";
"Renault Pulse (2011)";"Renault";"Volume";"Renault Pulse";"01.01.2011";"2011";;"ausgelaufen";"A0 (Kleinwagen)";"Hatchback";"Hatchback high";"ICE";;"Keine";"4f7b1f94-7c1e-46d2-88d4-15b8f7a59394";"Nissan March (2011)|Nissan Micra (2011)";;;
"Renault Rafale E-Tech (2024)";"Renault";"Volume";;"01.03.2024";"2024";"Neuentwicklung";"geplant";"A (Kompaktklasse)";"SUV / CUV";"SUV Fastback";"PHEV";;"Keine";"a409c168-b378-453f-9b25-ea8b6cd8571a";;;;
"Renault Safrane (2005)";"Renault";"Volume";"Renault Safrane";"01.01.2005";"2005";;"ausgelaufen";"B (Mittelklasse)";"Sedan";;"ICE";;"Keine";"7a4ea3d0-cca7-43ca-afd6-679e325fa3d4";"Samsung SM5 (2005)";;;
"Renault Safrane (2011)";"Renault";"Volume";"Renault Safrane";"01.01.2011";"2011";;"ausgelaufen";"B (Mittelklasse)";"Sedan";;"ICE";;"Keine";"dce53b71-ebe7-40ac-9471-52334b35cdde";"Renault Latitude (2011)|Samsung SM5 (2011)";;;
"Renault Sandero (2009)";"Renault";"Volume";"Renault Sandero";"01.01.2008";"2009";;"ausgelaufen";"A0 (Kleinwagen)";"Hatchback";"Hatchback high";"ICE";;"Keine";"8bf03788-b5de-486e-9d13-5b4d14819af3";;"Dacia Sandero (2009)";;
"Renault Sandero (2013)";"Renault";"Volume";"Renault Sandero";"01.01.2013";"2013";;"ausgelaufen";"A0 (Kleinwagen)";"Hatchback";"Hatchback high";"ICE";;"Keine";"28c9bb9c-bcef-4977-9cdd-2fa514750bd7";;"Dacia Sandero (2013)";;
"Renault Sandero (2020)";"Renault";"Volume";"Renault Sandero";"01.08.2019";"2020";"Facelift";"aktuell";"A0 (Kleinwagen)";"Hatchback";"Hatchback high";"ICE";;"Keine";"38f1959c-d70c-4101-8cb6-8771f0326130";;;;
"Renault Sandero Stepway (2009)";"Renault";"Volume";"Renault Sandero";"01.01.2008";"2009";;"ausgelaufen";"A0 (Kleinwagen)";"Hatchback";"Hatchback high";"ICE";;"Keine";"d6ee4225-064f-48b6-b9a0-0672b0ef759e";;"Dacia Sandero Stepway (2010)";;
"Renault Sandero Stepway (2013)";"Renault";"Volume";"Renault Sandero";"01.01.2013";"2013";;"ausgelaufen";"A0 (Kleinwagen)";"Hatchback";"Hatchback high";"ICE";;"Keine";"3ec8ea29-5cf0-43a6-8c3e-06dfeaa301b2";;"Dacia Sandero Stepway (2013)";;
"Renault Scala (2003)";"Renault";"Volume";"Renault Scala";"01.01.2002";"2003";;"ausgelaufen";"A (Kompaktklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"13dab50c-8893-48e7-8dfc-81038b415f54";"Samsung SM3 (2003)";;;
"Renault Scala (2013)";"Renault";"Volume";"Renault Scala";"01.09.2012";"2013";;"ausgelaufen";"A (Kompaktklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"3f14cf8a-d515-4bc7-8755-dc5dedeeccb3";"Nissan Latio (2013)";"Nissan Almera Sedan - ASEAN (2013)|Nissan Sunny (2012)|Nissan Versa Sedan (2012)";;
"Renault Scenic (2010)";"Renault";"Volume";"Renault Scenic";"01.03.2009";"2010";;"ausgelaufen";"A (Kompaktklasse)";"MPV";"MPV compact";"ICE";;"Keine";"6e6f5c55-7009-4858-bc9d-da04f037b48c";;;"Renault Grand Scenic (2010)";
"Renault Scenic (2012)";"Renault";"Volume";"Renault Scenic";"01.01.2012";"2012";;"ausgelaufen";"A (Kompaktklasse)";"MPV";"MPV compact";"ICE";;"Keine";"2df51dff-7a5e-4d46-b2b0-ed0745b8b8b4";;;"Renault Grand Scenic (2012)";
"Renault Scenic (2014)";"Renault";"Volume";"Renault Scenic";"01.04.2013";"2014";;"ausgelaufen";"A (Kompaktklasse)";"MPV";"MPV compact";"ICE";;"Keine";"d310fcb8-ef55-4aaa-9180-8329a6dc55ab";;;"Renault Grand Scenic (2014)|Renault Scenic XMOD (2014)";
"Renault Scenic (2017)";"Renault";"Volume";"Renault Scenic";"01.05.2016";"2017";;"aktuell";"A (Kompaktklasse)";"MPV";"MPV compact";"ICE";;"Keine";"3c13749f-1a49-4438-aea3-43e273d0e241";;;"Renault Grand Scenic (2017)";
"Renault Scenic E-Tech (2024)";"Renault";"Volume";"Renault Scenic";"01.02.2024";"2024";"Neuentwicklung";"geplant";"A (Kompaktklasse)";"SUV / CUV";"SUV Standard";"BEV";;"Keine";"6614fea2-ab09-44d8-8dc8-791d0750d1c1";;"Nissan Ariya (2022)";;
"Renault Scenic XMOD (2014)";"Renault";"Volume";"Renault Scenic";"01.04.2013";"2014";;"ausgelaufen";"A (Kompaktklasse)";"MPV";"MPV compact";"ICE";;"Keine";"a56bff6f-5945-406f-8c32-e56a953fd6c5";;;;"Renault Scenic (2014)"
"Renault Stepway (2020)";"Renault";"Volume";"Renault Sandero";"01.01.2020";"2020";"Facelift";"aktuell";"A0 (Kleinwagen)";"Hatchback";"Hatchback high";"ICE";;"Keine";"9683f876-3d37-4ef6-84ee-247b806d1d06";;"Dacia Sandero Stepway (2017)";;
"Renault Symbol (2010)";"Renault";"Volume";"Renault Symbol";"01.01.2009";"2010";;"ausgelaufen";"A0 (Kleinwagen)";"Sedan";"Sedan Standard";"ICE";;"Keine";"94dbe1d0-e46e-444f-a036-896a04e90f42";;;;
"Renault Symbol (2014)";"Renault";"Volume";"Renault Symbol";"01.01.2013";"2014";;"ausgelaufen";"A0 (Kleinwagen)";"Sedan";"Sedan Standard";"ICE";;"Keine";"510e92bf-4ca9-4220-b959-804722c4c15f";"Renault Logan (2014)";"Dacia Logan (2013)";;
"Renault Talisman (2013)";"Renault";"Volume";"Renault Talisman";"01.04.2012";"2013";;"ausgelaufen";"C (obere Mittelklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"3cfecd9d-8bcf-4bd3-b230-d197ef4ae0e2";"Samsung SM7 (2012)";;;
"Renault Talisman (2016)";"Renault";"Volume";"Renault Talisman";"01.10.2015";"2016";;"ausgelaufen";"B (Mittelklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"c22b193c-2613-4b3b-a0b0-5ba9eb70e139";"Samsung SM6 (2017)";;;
"Renault Talisman (2020)";"Renault";"Volume";"Renault Talisman";"01.04.2020";"2020";"Facelift";"ausgelaufen";"B (Mittelklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"3f4e345f-23e9-4878-ba81-4a6034a673ff";;;;
"Renault Talisman Grandtour (2016)";"Renault";"Volume";"Renault Talisman";"01.04.2016";"2016";;"ausgelaufen";"B (Mittelklasse)";"Estate";"Estate standard";"ICE";;"Keine";"b3490a07-4312-4cea-8a0d-f00c16ab5f97";;;;
"Renault Talisman Grandtour (2020)";"Renault";"Volume";"Renault Talisman";"01.04.2020";"2020";"Facelift";"ausgelaufen";"B (Mittelklasse)";"Estate";"Estate standard";"ICE";;"Keine";"cbccd252-658f-42a9-9724-9a88f4dc4a12";;;;
"Renault Trafic Chassis (2015)";"Renault";"Volume";"Renault Trafic";"01.09.2014";"2015";"Neuentwicklung";"aktuell";"B (Mittelklasse)";"Transporter";"Transporter Fahrgestell";"ICE";;"Keine";"31b6ccce-c37f-4fb5-8bfc-1af245f47fd6";"Fiat Talento Chassis (2016)|Nissan NV300 Chassis (2017)|Opel Vivaro Fahrgestell (2015)";;;
"Renault Trafic Combi (2015)";"Renault";"Volume";"Renault Trafic";"01.09.2014";"2015";"Neuentwicklung";"ausgelaufen";"B (Mittelklasse)";"Transporter";"Transporter Kombi";"ICE";;"Keine";"0069741e-9f58-410a-9264-7a0ebd886bb8";"Fiat Talento Combi (2016)|Nissan NV300 Combi (2017)|Opel Vivaro Combi (2015)";;"Renault Grand Trafic Combi (2015)";
"Renault Trafic Combi (2021)";"Renault";"Volume";"Renault Trafic";"01.03.2021";"2021";"Facelift";"aktuell";"B (Mittelklasse)";"Transporter";"Transporter Kombi";"ICE";;"Keine";"a1db74bc-127d-4b98-88ea-b819a17a27f1";;;;
"Renault Trafic Kompanja (2018)";"Renault";"Volume";"Renault Trafic";"01.08.2017";"2018";"Neuentwicklung";"aktuell";"B (Mittelklasse)";"Transporter";"Transporter Camper";"ICE";;"Keine";"8ce34f22-1f4c-4579-af3c-7a210ee1ea97";"Nissan NV300 Camper Westfalia (2017)";;;
"Renault Trafic Pritsche (2015)";"Renault";"Volume";"Renault Trafic";"01.09.2014";"2015";"Neuentwicklung";"aktuell";"B (Mittelklasse)";"Transporter";"Transporter Fahrgestell";"ICE";;"Keine";"7d7409db-1c5f-4c45-8c8d-d78642d07fe0";"Opel Vivaro Pritsche (2015)";;;
"Renault Trafic Van (2015)";"Renault";"Volume";"Renault Trafic";"01.09.2014";"2015";"Neuentwicklung";"aktuell";"B (Mittelklasse)";"Transporter";"Transporter Kastenwagen";"ICE";;"Keine";"3d2cc727-b495-4b58-b08e-1c880d2b208d";"Fiat Talento Van (2016)|Nissan NV300 Kastenwagen (2017)|Opel Vivaro Kastenwagen (2015)";;"Renault Grand Trafic Van (2015)";
"Renault Triber (2020)";"Renault";"Volume";;"01.10.2019";"2020";"Neuentwicklung";"aktuell";"A00 (Kleinstwagen)";"MPV";"MPV compact";"ICE";;"Keine";"70600949-47bd-4618-a841-14ca46d87e4d";;;;
"Renault Twingo (2008)";"Renault";"Volume";"Renault Twingo";"03.03.2007";"2008";;"ausgelaufen";"A00 (Kleinstwagen)";"Hatchback";"Hatchback standard";"ICE";;"Keine";"7313def7-c4e8-4a3e-b349-fc37801b9829";;;;
"Renault Twingo (2012)";"Renault";"Volume";"Renault Twingo";"14.01.2012";"2012";;"ausgelaufen";"A00 (Kleinstwagen)";"Hatchback";"Hatchback standard";"ICE";;"Keine";"0d6b8f34-e640-426a-a550-67efbac20ac7";;;;
"Renault Twingo (2015)";"Renault";"Volume";"Renault Twingo";"01.10.2014";"2015";;"ausgelaufen";"A00 (Kleinstwagen)";"Hatchback";"Hatchback standard";"ICE";;"Keine";"4f572f2d-c6d9-417b-b855-d8895e5873cd";;;;
"Renault Twingo (2019)";"Renault";"Volume";"Renault Twingo";"21.02.2019";"2019";"Facelift";"aktuell";"A00 (Kleinstwagen)";"Hatchback";"Hatchback standard";"ICE";;"Keine";"6527ed25-d490-44d1-b5d2-223c8bfdd087";;;"Renault Twingo Z.E. (2020)";
"Renault Twingo Z.E. (2020)";"Renault";"Volume";"Renault Twingo";"24.02.2020";"2020";"Facelift";"aktuell";"A00 (Kleinstwagen)";"Hatchback";"Hatchback standard";"BEV";;"Keine";"9bece45d-1bb2-4ab2-84d7-f3ee993eb4cb";;;;"Renault Twingo (2019)"
"Renault Twizy (2012)";"Renault";"Volume";;"01.03.2012";"2012";;"ausgelaufen";"A00 (Kleinstwagen)";"Hatchback";"Hatchback standard";"BEV";;"Keine";"5d87cf8e-899d-49e8-8e29-21b69ceb3501";;;;
"Renault Wind (2011)";"Renault";"Volume";"Renault Wind";"03.03.2010";"2011";;"ausgelaufen";"A0 (Kleinwagen)";"Cabriolet/Roadster";;"ICE";;"Keine";"537cb770-45ef-47e0-a0f5-b98e06a43d92";;;;
"Renault ZOE (2013)";"Renault";"Volume";"Renault Zoe";"01.03.2013";"2013";;"ausgelaufen";"A0 (Kleinwagen)";"Hatchback";"Hatchback standard";"BEV";;"Keine";"1aa1d812-e50c-4174-80e9-e13febda24d2";;;;
"Renault Zoe (2020)";"Renault";"Volume";"Renault Zoe";"01.12.2019";"2020";"Facelift";"aktuell";"A0 (Kleinwagen)";"Hatchback";"Hatchback standard";"BEV";;"Keine";"db37869d-f508-4252-a797-0c488b4bfed1";;;;
"Riich G2 (2013)";"Riich";"Economy";;"01.01.2012";"2013";;"ausgelaufen";"A0 (Kleinwagen)";"Hatchback";"Hatchback standard";"ICE";;"Keine";"372e1d07-8128-4b29-a4fe-0eca4d20e56c";;;;
"Riich G3 (2012)";"Riich";"Economy";;"01.12.2011";"2012";;"ausgelaufen";"A (Kompaktklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"721bfcc3-c354-4b73-8634-48b345e835d2";;;;
"Riich G5 (2010)";"Riich";"Economy";;"23.12.2009";"2010";;"ausgelaufen";"B (Mittelklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"625516d5-96fd-4e8c-aed2-bcf64ab992d6";;;;
"Riich G6 (2012)";"Riich";"Economy";;"01.08.2011";"2012";;"ausgelaufen";"B (Mittelklasse)";"Sedan";"Sedan Standard";"ICE";;"Keine";"bb762a68-293d-4dac-8f8b-32eadc204191";;;;
"Riich M1 (2010)";"Riich";"Economy";;"20.04.2009";"2010";;"ausgelaufen";"A00 (Kleinstwagen)";"Hatchback";"Hatchback standard";"ICE";;"Keine";"c1c57bf1-b245-48e5-9948-efc4b78190c8";;;;
